STORE_NAME,longitude,latitude,ADDRESS,ADDRESS2,CITY,STATE,ZIP5,zip4,County,
"Walgreen 07280",-80.072952,35.867874,"1015 Randolph St","","Thomasville","NC","27360","5876","DAVIDSON" 
"Walgreen 07479",-79.151695,35.464375,"1956 S Horner Blvd","","Sanford","NC","27330","5841","LEE" 
"Walgreen 07505",-78.834465,35.655399,"301 N Main St","","Holly Springs","NC","27540","9196","WAKE" 
"FOOD LION 2116",-77.880173,34.441509,"8057 US Highway 117 S","Unit 111","Rocky Point","NC","28457","","PENDER" 
"Walgreen 07805",-78.929726,35.030846,"3296 Village Dr","","Fayetteville","NC","28304","3817","CUMBERLAND" 
"Walgreen 01253",-80.070007,36.125168,"340 N Main St","","Kernersville","NC","27284","2881","FORSYTH" 
"LOWES FOODS 218",-78.73761,35.885548,"8201 Rowlock Way","","Raleigh","NC","27613","1146","WAKE" 
"ZEBULON BP",-78.328506,35.820305,"603 W Gannon Ave","","Zebulon","NC","27597","2511","WAKE" 
"FREDS STORE 1178",-83.451454,35.424614,"250 Highway 19 S","","Bryson City","NC","28713","","SWAIN" 
"FREDS STORE 1055",-83.840065,35.202599,"118 Main St","","Andrews","NC","28901","","CHEROKEE" 
"LA COSTENITA",-80.818871,35.246334,"2401 N Tryon St","","Charlotte","NC","28206","2752","MECKLENBURG" 
"COUNTRY SQUARE FRESH PRODUCE",-81.169212,36.11433,"122 Country Square Dr","","Wilkesboro","NC","28697","8708","WILKES" 
"FOOD LION 2601",-76.788979,34.734058,"4917 Arendell St","","Morehead City","NC","28557","","CARTERET" 
"WALGREEN 07475",-77.644905,36.436729,"101 Smith Church Rd","","Roanoke Rapids","NC","27870","4941","HALIFAX" 
"WALGREEN 07341",-78.784454,35.802467,"2323 NW Maynard Rd","","Cary","NC","27513","8826","WAKE" 
"WALGREEN 07168",-78.79451,35.704185,"3441 Kildaire Farm Rd","","Cary","NC","27518","1545","WAKE" 
"WALGREEN 06951",-77.887299,34.210487,"4521 Oleander Dr","","Wilmington","NC","28403","5011","NEW HANOVER" 
"WALGREEN 02222",-77.066338,35.111866,"2001 Neuse Blvd","","New Bern","NC","28560","3454","CRAVEN" 
